Transaction_ID,Date,Department,Vendor,Category,Amount_USD,Receipt_Attached,Approval_Status
TXN-084,8/3/2023,Operations,Home Depot,Repairs,1500,No,Pending Review
TXN-085,8/5/2023,Executive,Delta Airlines,Travel,1200,Yes,Approved
TXN-086,8/8/2023,Marketing,Facebook Ads,Advertising,4100,Yes,Approved
TXN-087,8/10/2023,Engineering,Slack,Software,850,Yes,Approved
TXN-088,8/12/2023,Sales,Hertz,Travel,210,Yes,Approved
TXN-089,8/15/2023,Finance,Deloitte,Consulting,22000,Yes,Approved
TXN-090,8/18/2023,HR,LinkedIn,Recruiting,1200,Yes,Approved
TXN-091,8/20/2023,Operations,Uline,Shipping,415,Yes,Approved
TXN-092,8/22/2023,Executive,The Capital Grille,Meals,1150,No,Approved
TXN-093,8/25/2023,Marketing,Google Ads,Advertising,4800,Yes,Approved
TXN-094,8/28/2023,Engineering,AWS,Cloud Services,14000,Yes,Approved
TXN-095,9/1/2023,Sales,Salesforce,Software,8500,Yes,Approved
TXN-096,9/3/2023,Operations,FedEx,Shipping,205.15,Yes,Approved
TXN-097,9/5/2023,Finance,QuickBooks,Software,150,Yes,Approved
TXN-098,9/8/2023,Marketing,Facebook Ads,Advertising,3400,Yes,Approved
TXN-099,9/10/2023,Engineering,Apple,Equipment,10000,No,Approved
TXN-100,9/12/2023,Sales,Fake Vendor LLC,Consulting,9999.99,No,Approved
